year,companies,employees_in_construction_industry,working_hours,turnover_total,turnover_in_building_industry
2013,2576,21214,2068,2779710,2766542
2014,2534,21016,2061,2755440,2742624
2015,2496,21425,2191,3124690,3114033
2016,2307,21665,2177,3181419,3168062
2017,2199,23229,2311,3387884,3376786
2018,2189,22934,2303,3547658,3536882
2019,2238,23906,2272,4006872,3994529
2020,2386,25340,2587,4435870,4424384
2021,2366,26532,2776,5004317,4988051
2022,2503,26949,2668,4867743,4852419
2023,2480,26434,2705,5393548,5376297
